己丑庚午戊辰戊午|土土金火土土土火
乙酉乙酉甲寅甲子|木金木金木木木水
癸酉甲子丙子庚寅|水金木水火水金木
壬辰己酉壬申丁未|水土土金水金火土
壬申乙巳辛亥戊戌|水金木火金水土土
辛未庚寅辛未壬辰|金土金木金土水土
己巳丙寅辛未辛卯|土火火木金土金木
癸丑壬戌丙子乙未|水土水土火水木土
丁亥壬寅甲午甲戌|火水水木木火木土
壬辰己酉甲申戊辰|水土土金木金土土
癸未甲子壬子壬寅|水土木水水水水木
戊辰丁巳戊辰丙辰|土土火火土土火土
丙申乙未甲寅壬申|火金木土木木水金
己巳丁丑丙申辛卯|土火火土火金金木
癸亥壬戌丁卯庚戌|水水水土火木金土
己卯己巳丙午丁酉|土木土火火火火金
乙未己卯癸巳丙辰|木土土木水火火土
甲午丙寅乙亥戊寅|木火火木木水土木
庚戌丙戌戊子乙卯|金土火土土水木木
庚午癸未辛未戊子|金火水土金土土水
辛卯辛丑甲子乙亥|金木金土木水木水
乙卯戊寅壬申庚戌|木木土木水金金土
辛丑辛卯丙申戊子|金土金木火金土水
壬辰戊申乙巳壬午|水土土金木火水火
丁卯辛亥己未壬申|火木金水土土水金
壬申丙午癸酉乙卯|水金火火水金木木
癸亥癸亥戊寅甲寅|水水水水土木木木
辛丑辛卯庚子甲申|金土金木金水木金
癸酉丁巳壬午丁未|水金火火水火火土
戊子甲子戊子己未|土水木水土水土土
甲寅丙寅癸巳辛酉|木木火木水火金金
丁巳癸丑丁亥乙巳|火火水土火水木火
丙申甲午戊辰戊午|火金木火土土土火
乙酉丙戌癸巳壬戌|木金火土水火水土
乙巳辛巳丁亥癸卯|木火金火火水水木
己亥甲戌辛卯丁酉|土水木土金木火金
己亥乙亥庚戌甲申|土水木水金土木金
己酉丁丑戊戌庚申|土金火土土土金金
己未壬申丁亥甲辰|土土水金火水木土
壬子丁未癸亥癸亥|水水火土水水水水
癸丑甲寅壬辰辛丑|水土木木水土金土
庚子乙酉己巳乙亥|金水木金土火木水
己丑丙子壬午乙巳|土土火水水火木火
己巳丙寅丁卯乙巳|土火火木火木木火
戊子丁巳壬戌戊申|土水火火水土土金
辛酉庚寅辛亥庚寅|金金金木金水金木
丙子辛卯己酉己巳|火水金木土金土火
己未丙子辛亥辛卯|土土火水金水金木
辛丑戊戌庚午己卯|金土土土金火土木
壬戌己酉癸亥庚申|水土土金水水金金
甲午癸酉辛丑乙未|木火水金金土木土
乙酉戊寅甲辰乙亥|木金土木木土木水
戊午己未癸巳辛酉|土火土土水火金金
壬戌壬寅辛亥癸巳|水土水木金水水火
辛未丁酉庚子丁亥|金土火金金水火水
辛丑戊戌乙卯癸未|金土土土木木水土
丙子乙未丙辰己丑|火水木土火土土土
壬午戊申己亥辛未|水火土金土水金土
癸亥己未庚申甲申|水水土土金金木金
乙亥乙酉己亥癸酉|木水木金土水水金
癸酉戊午己未甲戌|水金土火土土木土
辛未庚子辛亥癸巳|金土金水金水水火
庚寅己卯己巳乙亥|金木土木土火木水
丙戌丁酉丙寅甲午|火土火金火木木火
甲寅丁丑己丑甲子|木木火土土土木水
己亥丙寅庚辰丁丑|土水火木金土火土
癸卯癸亥己酉癸酉|水木水水土金水金
庚申己卯庚子壬午|金金土木金水水火
丁卯壬子丁巳丁未|火木水水火火火土
丙戌乙未庚寅丙子|火土木土金木火水
丁未戊申辛丑乙未|火土土金金土木土
丙寅庚寅辛酉己丑|火木金木金金土土
辛未甲午庚午癸未|金土木火金火水土
甲寅甲戌己丑甲戌|木木木土土土木土
丁未壬子丁巳癸卯|火土水水火火水木
甲子庚午壬子辛亥|木水金火水水金水
丙子庚子乙亥戊寅|火水金水木水土木
辛酉甲午己巳丙寅|金金木火土火火木
乙未癸未癸卯丁巳|木土水土水木火火
戊戌己未丙午庚寅|土土土土火火金木
壬寅癸丑乙亥壬午|水木水土木水水火
辛亥辛丑己丑丙寅|金水金土土土火木
己丑辛未庚辰丙戌|土土金土金土火土
辛卯己亥甲子乙丑|金木土水木水木土
甲子庚午己未丙寅|木水金火土土火木
庚寅戊子庚申乙酉|金木土水金金木金
癸酉乙丑戊戌甲寅|水金木土土土木木
己酉丁卯庚辰庚辰|土金火木金土金土
壬子癸卯丁丑乙巳|水水水木火土木火
甲子乙亥辛巳戊子|木水木水金火土水
丁卯壬寅癸卯丁巳|火木水木水木火火
甲寅庚午壬寅庚子|木木金火水木金水
己未戊辰庚子癸未|土土土土金水水土
辛亥丁酉壬戌壬寅|金水火金水土水木
